accuracy; max_depth; splitter; criterion; min_sample_split; removed_columns;attributes
0.8573934837092732;4;random;entropy;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8573934837092732;4;random;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8573934837092732;4;random;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8573934837092732;4;random;gini;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8573934837092732;4;random;gini;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8556390977443609;4;random;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8556390977443609;4;random;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;entropy;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;entropy;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;gini;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;gini;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;gini;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;best;gini;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;entropy;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;2;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;2;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;2;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;10;['Age'];['Pclass', 'Sex', 'SibSp', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;2;random;gini;10;['Age', 'SibSp'];['Pclass', 'Sex', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;4;best;entropy;2;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;4;best;entropy;10;['SibSp'];['Pclass', 'Sex', 'Age', 'Parch', 'Fare', 'Embarked']
0.8533834586466165;4;random;entropy;10;[];['Pclass', 'Sex', 'Age', 'SibSp', 'Parch', 'Fare', 'Embarked']
