threads,steps,seq,par
1,1,0.000001,0.000008
1,10,0.000002,0.000001
1,100,0.000001,0.000001
1,1000,0.000003,0.000004
1,10000,0.000020,0.000021
1,100000,0.000190,0.000188
1,1000000,0.001669,0.001752
1,10000000,0.017385,0.015339
1,100000000,0.152907,0.150568
1,1000000000,1.510574,1.506200
2,1,0.000001,0.000122
2,10,0.000001,0.000003
2,100,0.000001,0.000002
2,1000,0.000003,0.000004
2,10000,0.000016,0.000017
2,100000,0.000150,0.000151
2,1000000,0.001518,0.000765
2,10000000,0.016136,0.008049
2,100000000,0.152746,0.077394
2,1000000000,1.506134,0.763628
3,1,0.000001,0.000164
3,10,0.000002,0.000004
3,100,0.000002,0.000005
3,1000,0.000005,0.000005
3,10000,0.000031,0.000013
3,100000,0.000292,0.000111
3,1000000,0.001516,0.000724
3,10000000,0.015490,0.006245
3,100000000,0.151490,0.053003
3,1000000000,1.506501,0.525231
4,1,0.000001,0.000166
4,10,0.000002,0.000005
4,100,0.000002,0.000004
4,1000,0.000005,0.000004
4,10000,0.000032,0.000010
4,100000,0.000299,0.000077
4,1000000,0.001558,0.000374
4,10000000,0.015972,0.006054
4,100000000,0.153334,0.043112
4,1000000000,1.548185,0.408929
5,1,0.000001,0.000140
5,10,0.000001,0.000003
5,100,0.000001,0.000003
5,1000,0.000003,0.000003
5,10000,0.000017,0.000007
5,100000,0.000168,0.000190
5,1000000,0.001527,0.000468
5,10000000,0.015496,0.006063
5,100000000,0.154677,0.042145
5,1000000000,1.580112,0.366897
6,1,0.000001,0.000125
6,10,0.000001,0.000003
6,100,0.000001,0.000004
6,1000,0.000003,0.000004
6,10000,0.000016,0.000008
6,100000,0.000150,0.000070
6,1000000,0.001610,0.000269
6,10000000,0.015573,0.003382
6,100000000,0.153789,0.031045
6,1000000000,1.509138,0.304586
7,1,0.000001,0.000098
7,10,0.000001,0.000003
7,100,0.000001,0.000005
7,1000,0.000004,0.000004
7,10000,0.000021,0.000008
7,100000,0.000197,0.000047
7,1000000,0.001972,0.000428
7,10000000,0.016347,0.004698
7,100000000,0.152584,0.046784
7,1000000000,1.514672,0.386177
8,1,0.000001,0.000106
8,10,0.000001,0.000005
8,100,0.000001,0.000004
8,1000,0.000002,0.000005
8,10000,0.000020,0.000008
8,100000,0.000189,0.000051
8,1000000,0.001901,0.000384
8,10000000,0.016095,0.005365
8,100000000,0.152517,0.041227
8,1000000000,1.510034,0.345436
9,1,0.000001,0.000101
9,10,0.000001,0.000006
9,100,0.000001,0.000005
9,1000,0.000002,0.000005
9,10000,0.000019,0.000010
9,100000,0.000162,0.000055
9,1000000,0.001712,0.000348
9,10000000,0.015530,0.004071
9,100000000,0.153158,0.039130
9,1000000000,1.525063,0.343011
10,1,0.000002,0.000151
10,10,0.000002,0.000006
10,100,0.000002,0.000007
10,1000,0.000006,0.000007
10,10000,0.000038,0.000011
10,100000,0.000376,0.000064
10,1000000,0.002056,0.000319
10,10000000,0.016435,0.003732
10,100000000,0.152457,0.035581
10,1000000000,1.514320,0.343344
11,1,0.000002,0.000109
11,10,0.000001,0.000006
11,100,0.000001,0.000007
11,1000,0.000003,0.000005
11,10000,0.000019,0.000010
11,100000,0.000178,0.000055
11,1000000,0.001822,0.000521
11,10000000,0.016839,0.003886
11,100000000,0.145727,0.032672
11,1000000000,1.477994,0.334514
12,1,0.000001,0.000660
12,10,0.000002,0.000008
12,100,0.000002,0.000006
12,1000,0.000005,0.000007
12,10000,0.000038,0.000011
12,100000,0.000185,0.000030
12,1000000,0.001840,0.000250
12,10000000,0.018081,0.003321
12,100000000,0.152270,0.033043
12,1000000000,1.493637,0.335848
